trade_id,entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,duration_minutes
219,2020-03-09 09:51:00,2020-03-09 10:04:00,Long,1.1391,1.1411,0.002,TP,13.0
220,2020-03-09 10:43:00,2020-03-09 10:50:00,Short,1.14084,1.14184,-0.001,SL,7.0
221,2020-03-09 11:03:00,2020-03-09 12:07:00,Long,1.1418,1.1438,0.002,TP,64.0
222,2020-03-09 12:29:00,2020-03-09 12:38:00,Short,1.14111,1.14211,-0.001,SL,9.0
223,2020-03-09 12:54:00,2020-03-09 13:04:00,Long,1.14275,1.14475,0.002,TP,10.0
224,2020-03-09 13:53:00,2020-03-09 13:53:00,Short,1.13877,1.13977,-0.001,SL,0.0
225,2020-03-09 14:30:00,2020-03-09 14:40:00,Long,1.14189,1.14089,-0.001,SL,10.0
226,2020-03-09 14:43:00,2020-03-09 14:53:00,Short,1.14199,1.14299,-0.001,SL,10.0
227,2020-03-09 15:00:00,2020-03-09 15:27:00,Long,1.14346,1.14246,-0.001,SL,27.0
228,2020-03-09 15:34:00,2020-03-09 16:12:00,Short,1.14241,1.14341,-0.001,SL,38.0
229,2020-03-09 16:14:00,2020-03-09 16:32:00,Long,1.14356,1.14556,0.002,TP,18.0
230,2020-03-09 17:14:00,2020-03-09 17:22:00,Short,1.14508,1.14608,-0.001,SL,8.0
231,2020-03-09 17:34:00,2020-03-09 18:12:00,Long,1.14661,1.14561,-0.001,SL,38.0
232,2020-03-09 18:15:00,2020-03-09 18:32:00,Short,1.14452,1.14552,-0.001,SL,17.0
233,2020-03-09 18:46:00,2020-03-09 18:51:00,Long,1.14651,1.14551,-0.001,SL,5.0
234,2020-03-09 19:20:00,2020-03-09 20:06:00,Short,1.14542,1.14642,-0.001,SL,46.0
235,2020-03-09 20:36:00,2020-03-09 21:00:00,Short,1.14451,1.14251,0.002,TP,24.0
236,2020-03-09 21:25:00,2020-03-09 23:02:00,Long,1.14419,1.14319,-0.001,SL,97.0
237,2020-03-10 00:22:00,2020-03-10 00:51:00,Long,1.14009,1.13909,-0.001,SL,29.0
238,2020-03-10 01:27:00,2020-03-10 01:56:00,Long,1.13879,1.14079,0.002,TP,29.0
239,2020-03-10 02:26:00,2020-03-10 02:41:00,Short,1.13976,1.14076,-0.001,SL,15.0
240,2020-03-10 02:50:00,2020-03-10 03:48:00,Long,1.14054,1.13954,-0.001,SL,58.0
241,2020-03-10 06:12:00,2020-03-10 06:25:00,Long,1.13724,1.13624,-0.001,SL,13.0
242,2020-03-10 06:41:00,2020-03-10 06:49:00,Short,1.13488,1.13588,-0.001,SL,8.0
243,2020-03-10 07:22:00,2020-03-10 07:37:00,Long,1.13567,1.13467,-0.001,SL,15.0
244,2020-03-10 08:42:00,2020-03-10 08:53:00,Short,1.13845,1.13645,0.002,TP,11.0
245,2020-03-10 10:31:00,2020-03-10 10:37:00,Long,1.13521,1.13421,-0.001,SL,6.0
246,2020-03-10 11:06:00,2020-03-10 11:16:00,Long,1.13581,1.13481,-0.001,SL,10.0
247,2020-03-10 11:50:00,2020-03-10 11:58:00,Short,1.13556,1.13656,-0.001,SL,8.0
248,2020-03-10 13:04:00,2020-03-10 13:12:00,Short,1.138,1.139,-0.001,SL,8.0
249,2020-03-10 13:16:00,2020-03-10 13:18:00,Long,1.1392,1.1382,-0.001,SL,2.0
